img_timestamp,classes,confidences,boxes1607060306.728240,[0 0 0 0 0 0 0 1],[0.99351436 0.9876877  0.9792991  0.97363496 0.9562656  0.92687553 0.9115493  0.9505005 ],[117 121  57 151 116 128  59 138 220 163  27  61 218 162  28  62 457 147   32 109 219 165  28  54 301 178  13  35 114 185  60  98]
1607060309.594860,[0 0 0 0 0 0 0 1],[0.9953643  0.98895824 0.98750705 0.985688   0.97068244 0.9233429 0.9085319  0.9578232 ],[168 149  43  89 170 151  38  85 514 118  45 157 352 121  60 146 426 154   28  87 352 121  58 133 513 120  48 149 358 192  59  89]
1607060309.661530,[0 0 0 0 0 0 0 0 1],[0.98904    0.97594124 0.96782    0.96774626 0.9622742  0.9580198 0.95373374 0.94353354 0.95838654],[163 143  42  98 518 119  45 152 426 154  31  86 517 114  49 164 346 125   60 135 347 119  58 134 350 121  55 142 513 117  48 159 353 196  56  82]
1607060309.728189,[0 0 0 0 0 1],[0.9885681  0.98355633 0.98306686 0.979111   0.9613967  0.9591727 ],[518 118  47 155 517 116  51 161 156 142  46 100 344 121  55 131 427 154   33  87 348 198  54  77]
1607060309.794859,[0 0 0 0 0 0 0 0],[0.9908705  0.98164916 0.9814169  0.97824645 0.97176933 0.9634867 0.96038514 0.90670675],[519 120  49 155 517 116  53 163 150 140  44 103 429 152  31  90 342 125   55 125 343 123  53 138 151 141  43  92 151 146  44  91]
1607060309.861530,[0 0 0 0 0 0 0 0 0 1 1],[0.9922967  0.9900885  0.9821185  0.9782726  0.96733683 0.9660399 0.9484651  0.94425076 0.90799934 0.939932   0.91776156],[519 119  51 157 142 138  46 107 140 141  50 101 339 127  53 118 141 137   46 102 430 150  32  95 340 126  51 132 142 141  46  94 517 120  55 162  144 190  44  68 141 189  49  70]
1607060309.928190,[0 0 0 0 0 0 1],[0.9916728  0.9907196  0.9867015  0.9477599  0.9298168  0.90022516 0.96990246],[522 117  52 161 135 136  47 113 335 130  52 112 134 136  46 105 433 147   32  98 526 113  49 168 130 188  52  75]
1607060309.994859,[0 0 0 0 0 0 0 1 1],[0.99407506 0.99255323 0.98767245 0.96559083 0.9180262  0.9151152 0.9108565  0.9385545  0.91191405],[523 116  54 161 333 124  48 119 124 134  50 117 122 136  53 102 437 149   33  98 438 149  35  98 436 149  32  96 121 183  55  82 336 189  42  77]
1607060310.061529,[0 0 0 0 0 0 0 1],[0.99482465 0.9883033  0.9819557  0.97598124 0.96707296 0.92680174 0.92351043 0.94187546],[526 114  53 164 114 131  53 113 332 132  47 109 441 150  34  97 113 132   52 119 332 134  46 115 439 155  38  87 108 182  62  87]
1607060310.128170,[0 0 0 0 0 0 0 0 1 1],[0.9929286  0.983001   0.9724833  0.9647287  0.96011823 0.94649 0.92767894 0.9025847  0.980811   0.90228575],[529 114  54 165 101 129  58 114 330 135  45 102 525 113  57 168 103 125   56 134 443 150  33  97 329 134  45 116 441 155  39  87  94 179  70  95  333 191  34  71]
1607060310.194829,[0 0 0 0 0 1 1],[0.9923267  0.9918099  0.9648208  0.9516652  0.90887207 0.9677845 0.9069925 ],[ 90 125  59 138 528 113  59 166 327 138  44 109 327 136  44 101 525 114   57 167  87 187  67  92 333 194  31  67]
